年份,主题,总词频,词频明细
2023,智能交通,16,出行(16)，无人驾驶(0)，导航(0)，物流(0)
2023,新消费,75,直播(27)，电商(27)，种草(21)，盲盒(0)，团购(0)
2023,环境治理,13,垃圾(0)，回收(13)，污染(0)，水质(0)，土壤(0)
2023,青年发展,38,青年(0)，三孩(0)，就业(21)，创业(17)，焦虑(0)，偶像(0)，网红(0)
2023,现代农业,60,农业(25)，预制(35)，生鲜(0)，养殖(0)，种植(0)
2023,城市安全,18,疫情(18)，反诈(0)，应急(0)，消毒(0)，预警(0)
2023,人工智能+,15,视觉(15)，算法(0)，深度学习(0)，生成式(0)，仿生(0)
2023,新材料研发,27,纳米(15)，复合材料(0)，石墨(0)，陶瓷(12)，涂层(0)
2023,冰雪经济,14,冰雪(0)，冬奥(0)，运动(0)，体育(0)，健身(14)
2023,数字文旅,106,旅游(93)，沉浸(0)，剧本(0)，影视(0)，文创(13)
2023,家庭服务,15,育儿(0)，宠物(15)，家庭(0)，居家(0)，儿童(0)
2023,先进制造,15,激光(15)，3D打印(0)，精密(0)，智造(0)，焊接(0)
2023,食品安全,45,检测(45)，临期(0)，溯源(0)，冷链(0)，生鲜(0)
2023,女性议题,0,女性(0)，美妆(0)，服饰(0)，护肤(0)，母婴(0)
2023,海洋开发,34,海洋(0)，水产(0)，生态(34)，资源(0)，航运(0)
2023,心理服务,0,心理(0)，焦虑(0)，压力(0)，青少年(0)，家庭(0)
2023,新能源车,60,新能源(22)，电池(14)，充电(0)，汽车(24)，无人驾驶(0)
2023,文化科技,0,虚拟(0)，元宇宙(0)，数字孪生(0)，光影(0)，交互(0)
2023,区域发展,49,三门峡(25)，河南(0)，新疆(0)，云南(12)，农村(12)
2023,社会公益,28,公益(28)，助残(0)，志愿(0)，救援(0)，无障碍(0)
2023,智能家居,15,智能(0)，物联网(0)，家居(0)，管家(15)，安防(0)
2023,其他,0,付费(0)，问卷(0)，电影(0)，会员(0)，暴力(0)，原因(0)，金融(0)
2024,乡村振兴,207,乡村(106)，振兴(74)，农村(11)，农产品(16)，助农(0)
2024,数字中国,171,数字(76)，数字化(55)，人工智能(40)，区块链(0)，元宇宙(0)，北斗(0)，宇宙(0)
2024,医疗健康,237,医疗(32)，健康(85)，疫苗(0)，检测(106)，中医药(14)
2024,智慧养老,65,养老(29)，老年人(11)，康养(13)，居家(12)，陪诊(0)
2024,双碳战略,71,双碳(12)，低碳(0)，新能源(27)，光伏(20)，储能(12)
2024,文化传承,72,非遗(44)，国潮(0)，红色(17)，国风(0)，传统(11)
2024,教育改革,91,双减(0)，教育(50)，研学(19)，校园(22)，托育(0)
2024,生物科技,77,生物(44)，基因(0)，细胞(13)，靶向(0)，诊断(20)
2024,智能交通,23,出行(0)，无人驾驶(0)，导航(11)，物流(12)
2024,新消费,53,直播(15)，电商(38)，种草(0)，盲盒(0)，团购(0)
2024,环境治理,38,垃圾(17)，回收(21)，污染(0)，水质(0)，土壤(0)
2024,青年发展,54,青年(20)，三孩(0)，就业(17)，创业(17)，焦虑(0)，偶像(0)，网红(0)
2024,现代农业,76,农业(36)，预制(26)，生鲜(0)，养殖(14)，种植(0)
2024,城市安全,13,疫情(0)，反诈(0)，应急(0)，消毒(0)，预警(13)
2024,人工智能+,48,视觉(23)，算法(0)，深度学习(0)，生成式(0)，仿生(25)
2024,新材料研发,69,纳米(43)，复合材料(0)，石墨(12)，陶瓷(14)，涂层(0)
2024,冰雪经济,44,冰雪(0)，冬奥(0)，运动(18)，体育(13)，健身(13)
2024,数字文旅,104,旅游(49)，沉浸(20)，剧本(12)，影视(0)，文创(23)
2024,家庭服务,49,育儿(0)，宠物(20)，家庭(0)，居家(12)，儿童(17)
2024,先进制造,48,激光(24)，3D打印(0)，精密(13)，智造(11)，焊接(0)
2024,食品安全,117,检测(106)，临期(0)，溯源(11)，冷链(0)，生鲜(0)
2024,女性议题,0,女性(0)，美妆(0)，服饰(0)，护肤(0)，母婴(0)
2024,海洋开发,69,海洋(12)，水产(0)，生态(46)，资源(11)，航运(0)
2024,心理服务,13,心理(0)，焦虑(0)，压力(0)，青少年(13)，家庭(0)
2024,新能源车,79,新能源(27)，电池(24)，充电(0)，汽车(28)，无人驾驶(0)
2024,文化科技,24,虚拟(13)，元宇宙(0)，数字孪生(0)，光影(0)，交互(11)
2024,区域发展,26,三门峡(0)，河南(0)，新疆(15)，云南(0)，农村(11)
2024,社会公益,13,公益(13)，助残(0)，志愿(0)，救援(0)，无障碍(0)
2024,智能家居,18,智能(0)，物联网(0)，家居(0)，管家(18)，安防(0)
2024,其他,0,付费(0)，问卷(0)，电影(0)，会员(0)，暴力(0)，原因(0)，金融(0)
